step,type,price,shares
5,buy,228.73,224.0
6,buy,228.53,124.0
7,buy,233.04,34.0
10,sell,235.04,256.7889801395681
11,sell,235.04,90.19793256967986
14,buy,232.0,203.0
15,buy,222.43,119.0
17,buy,221.27,60.0
18,buy,215.66,16.0
19,sell,206.35,309.8609032957331
23,sell,240.28,89.95791545224822
24,sell,240.91,11.452636798083654
25,buy,240.31,220.0
26,sell,237.44,154.12681721276508
28,buy,228.0,148.0
29,buy,224.7,82.0
30,sell,225.29,115.89993526021853
31,sell,224.31,73.01009739645824
32,buy,229.31,211.0
33,buy,228.64,47.0
34,buy,236.41,11.0
35,sell,232.55,155.0740446706256
36,sell,231.98,75.24486011813032
37,sell,231.84,60.177315494229646
38,buy,235.58,181.0
39,buy,241.75,59.0
41,buy,239.68,22.0
42,buy,232.35,21.0
43,sell,220.79,147.5694398145545
44,buy,218.32,66.0
48,buy,224.8,49.0
50,buy,183.2,37.0
51,sell,171.81,153.10706982204792
53,buy,179.53,103.0
55,buy,170.56,47.0
57,sell,166.51,134.8038020192328
59,buy,159.67,77.0
60,sell,164.74,179.72172203883972
61,sell,164.82,38.445335987651184
63,buy,163.94,164.0
65,buy,165.35,74.0
66,sell,165.67,89.47092310896723
67,buy,164.84,99.0
68,buy,170.38,18.0
69,buy,173.58,18.0
71,buy,178.91,4.0
73,buy,183.81,3.0
74,sell,179.55,110.90993885871718
78,buy,169.77,62.0
81,buy,172.02,40.0
82,buy,173.0,11.0
84,sell,173.51,237.83044852387417
86,sell,179.99,81.6484752443713
87,buy,179.89,213.0
88,sell,181.53,122.9305665263775
89,sell,176.82,43.39361446372659
90,buy,175.98,202.0
91,sell,182.31,120.01844565332856
92,sell,181.48,144.62470595714495
93,buy,185.69,135.0
94,sell,185.95,48.59604322550565
96,sell,175.08,53.9320077458628
97,sell,176.64,32.37348639980689
99,buy,170.66,192.0
102,sell,172.69,152.80733029454362
104,buy,175.52,159.0
105,buy,174.84,84.0
107,sell,171.1,236.48532920261428
108,sell,167.42,87.17701281122173
110,sell,162.47,8.003973618722148
112,sell,167.69,5.497800211756553
116,sell,140.82,4.427190961757538
118,sell,152.82,3.979090848465441
119,buy,154.12,323.0
120,sell,152.79,115.1177559629756
121,sell,162.82,120.25479843052275
123,sell,158.18,32.57115629085746
125,buy,159.62,282.0
128,sell,165.78,240.9087105098809
129,sell,165.95,25.645559297781404
130,sell,167.71,29.69233363516527
132,buy,166.13,171.0
133,sell,157.69,83.77720042403003
134,sell,156.16,31.982158703445297
135,buy,148.62,144.0
138,buy,136.27,102.0
139,sell,143.92,168.1953245234639
140,sell,142.08,80.60569779112103
141,buy,143.82,162.0
143,buy,160.68,123.0
146,sell,151.63,163.69347074131866
147,buy,149.26,134.0
148,buy,151.34,72.0
149,sell,163.77,236.72615856961875
150,buy,161.06,162.0
151,buy,157.35,79.0
155,buy,171.42,18.0
156,buy,170.067,6.0
158,sell,174.46900000000002,311.6265108606446
161,sell,170.33100000000002,65.7708453433987
162,buy,172.92200000000005,184.0
165,buy,160.553,90.0
166,sell,158.66600000000005,166.78150041730436
167,buy,159.20000000000002,129.0
169,buy,159.221,96.0
170,sell,165.86300000000003,147.64406903301128
171,buy,173.45600000000002,148.0
172,sell,180.252,130.93008359143144
173,buy,182.887,100.0
174,sell,173.50400000000002,235.66573591502072
175,sell,167.899,43.91346373325179
178,buy,144.047,272.0
179,sell,140.66400000000002,247.06446752929355
182,buy,133.082,249.0
183,sell,132.19000000000003,101.09493011000087
184,sell,132.855,178.20168701529673
187,sell,141.245,63.089752533193426
188,sell,140.784,13.606507111313753
189,buy,139.329,276.0
190,sell,139.22400000000002,159.65086841016011
192,buy,141.403,297.0
193,buy,139.529,46.0
194,buy,141.21300000000002,36.0
195,buy,143.61700000000002,12.0
196,buy,138.003,6.0
200,buy,132.537,2.0
202,sell,131.031,126.28787802559765
203,sell,127.811,112.15868243977366
204,sell,123.857,196.00379708261806
207,sell,133.862,23.446875358008874
208,sell,134.407,26.222701061771748
209,buy,129.442,348.0
211,sell,124.919,255.50913362827148
212,sell,122.446,105.63472564072772
213,sell,120.471,15.464765236804299
214,sell,125.899,12.422516477817757
215,buy,128.263,276.0
217,sell,131.06900000000002,160.73862753883574
218,buy,134.407,268.0
222,sell,133.67100000000002,294.48848019592185
224,sell,131.75,69.32384667670917
225,sell,136.321,9.16584700801174
227,buy,135.026,352.0
230,sell,133.149,131.15868866322666
231,sell,135.158,75.22702795865283
232,sell,135.347,64.36966945174147
234,sell,127.6,40.48557197847175
235,sell,123.801,26.81018555521943
241,sell,129.31199999999998,24.2926727179687
242,buy,130.872,244.0
243,buy,140.701,162.0
244,buy,135.0,44.0
245,buy,134.275,16.0
247,sell,139.917,323.7734579156136
250,buy,129.62300000000002,172.0
251,sell,130.913,119.67092774968694
254,sell,122.745,85.44820394190974
255,buy,122.655,293.0
256,buy,124.548,81.0
257,sell,126.507,212.5144687425739
258,sell,126.222,129.68872283261825
259,buy,125.16500000000002,268.0
260,sell,126.5,250.08394298789284
261,sell,128.34400000000002,87.12025906438635
262,sell,127.476,42.903181749208166
264,buy,122.265,286.0
265,sell,124.31,138.81482833374568
266,buy,122.434,238.0
267,buy,120.001,88.0
268,buy,118.0,17.0
269,buy,120.81600000000002,9.0
272,sell,123.0,152.48708948381426
274,buy,122.631,64.0
276,buy,121.12,41.0
277,sell,114.39100000000002,127.23667917916953
282,sell,108.057,261.8536256277468
283,sell,108.249,32.85141177035961
284,sell,107.485,20.1573589651511
286,sell,104.901,14.136617390226213
287,sell,105.858,12.370151814787066
288,buy,108.538,340.0
